partido_id,mundial,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,marcador,local_es_anfitrion,visitante_es_anfitrion,fuente,goles_totales,diferencia_goles,resultado_local
M-2018-01,2018,Fase de grupos,A,1,2018-06-14,Russia,Saudi Arabia,5,0,5-0,True,False,https://github.com/jfjelstul/worldcup,5,5,Gana
M-2018-02,2018,Fase de grupos,A,1,2018-06-15,Egypt,Uruguay,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2018-03,2018,Fase de grupos,B,1,2018-06-15,Morocco,Iran,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2018-04,2018,Fase de grupos,B,1,2018-06-15,Portugal,Spain,3,3,3-3,False,False,https://github.com/jfjelstul/worldcup,6,0,Empata
M-2018-05,2018,Fase de grupos,C,1,2018-06-16,France,Australia,2,1,2-1,False,False,https://github.com/jfjelstul/worldcup,3,1,Gana
M-2018-06,2018,Fase de grupos,D,1,2018-06-16,Argentina,Iceland,1,1,1-1,False,False,https://github.com/jfjelstul/worldcup,2,0,Empata
M-2018-07,2018,Fase de grupos,C,1,2018-06-16,Peru,Denmark,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2018-08,2018,Fase de grupos,D,1,2018-06-16,Croatia,Nigeria,2,0,2-0,False,False,https://github.com/jfjelstul/worldcup,2,2,Gana
M-2018-09,2018,Fase de grupos,E,1,2018-06-17,Costa Rica,Serbia,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2018-10,2018,Fase de grupos,F,1,2018-06-17,Germany,Mexico,0,1,0-1,False,False,https://github.com/jfjelstul/worldcup,1,-1,Pierde
M-2018-11,2018,Fase de grupos,E,1,2018-06-17,Brazil,Switzerland,1,1,1-1,False,False,https://github.com/jfjelstul/worldcup,2,0,Empata
M-2018-12,2018,Fase de grupos,F,1,2018-06-18,Sweden,South Korea,1,0,1-0,False,False,https://github.com/jfjelstul/worldcup,1,1,Gana
M-2018-13,2018,Fase de grupos,G,1,2018-06-18,Belgium,Panama,3,0,3-0,False,False,https://github.com/jfjelstul/worldcup,3,3,Gana
M-2018-14,2018,Fase de grupos,G,1,2018-06-18,Tunisia,England,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2018-15,2018,Fase de grupos,H,1,2018-06-19,Colombia,Japan,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2018-16,2018,Fase de grupos,H,1,2018-06-19,Poland,Senegal,1,2,1-2,False,False,https://github.com/jfjelstul/worldcup,3,-1,Pierde
M-2018-17,2018,Fase de grupos,A,2,2018-06-19,Russia,Egypt,3,1,3-1,True,False,https://github.com/jfjelstul/worldcup,4,2,Gana
